rank,year,title,keyword,author.no,affl.no,max_dist(m)
153,2012,Terrestrial biosphere models need better representation of vegetation phenology: results from the North American Carbon Program Site Synthesis,Autumn senescence; Carbon cycle; Land surface model (LSM); Leaf area index (LAI); Model error; North American Carbon Program (NACP); Phenology; Seasonal dynamics; Spring onset,31,30,17815985.3996548
154,2016,"Micro-scale urban surface temperatures are related to land-cover features and residential heat related health impacts in Phoenix, AZ USA",Land surface temperature; MASTER; Parcel; Social surveys; Urban heat island; Vulnerability,9,9,17809134.7867904
155,2012,"Temporal dynamics of carbon flow through the microbial plankton community in a coastal upwelling system off northern Baja California, Mexico",Biogenic carbon flow; Multivorous food web; Phytoplankton grazing rate; Phytoplankton growth rate; Primary production,8,6,17806623.8509587
156,2018,Among-species overlap in rodent body size distributions predicts species richness along a temperature gradient,body size; niche; rodents,10,9,17805576.5053312
157,2013,"The global Land-Potential Knowledge System (LandPKS): Supporting evidence-based, site-specific land use and management through cloud computing, mobile applications, and crowdsourcing",NA,19,13,17799023.1897498
158,2008,"Global potential net primary production predicted from vegetation class, precipitation, and temperature",Ecosystem modeling; Global NPP; Miami model; National center for ecological analysis and synthesis (NCEAS) model; Nitrogen losses; Water stress,8,8,17798659.6709147
159,2005,Site-level evaluation of satellite-based global terrestrial gross primary production and net primary production monitoring,Carbon; FPAR; Global; Gross primary production; Light use efficiency; MODIS; Net primary production; Satellite remote sensing; Scaling; Validation,18,9,17798659.6709147
160,2016,Incorporating biotic factors in species distribution modeling: are interactions with soil microbes important?,NA,5,3,17798659.6709147
161,2000,Land-atmosphere energy exchange in arctic tundra and boreal forest: available data and feedbacks to climate,Arctic tundra; Boreal forest; Circumpolar high-latitudes; Climate feedbacks; Eddy covariance flux data; Surface energy balance,11,8,17798659.6709147
162,2016,Biogeographic patterns of soil diazotrophic communities across six forests in the North America,biogeography; diversity gradients; nifH; soil diazotrophs; taxa-area relationship,16,11,17774288.8302695
163,2016,Reduced snow cover alters root-microbe interactions and decreases nitrification rates in a northern hardwood forest,Hubbard Brook; Nitrification; Phenol oxidase; Root production; Snow; Soil frost; Sugar maple (Acer saccharum),9,7,17768863.3887625
164,2016,Climate change decreases nitrogen pools and mineralization rates in northern hardwood forests,Carbon; Global change; Microbial activity mineralization; Nitrification; Nitrogen; Soil frost,13,14,17768863.3887625
165,2014,Winter climate change affects growing-season soil microbial biomass and activity in northern hardwood forests,Carbon; Global change; Microbial respiration; Mineralization; Nitrification; Nitrogen; Soil frost,10,10,17768863.3887625
166,2017,Diversity-dependent temporal divergence of ecosystem functioning in experimental ecosystems,NA,21,24,17768863.3887625
167,1995,Environmental controls on the photosynthesis and respiration of a boreal lichen woodland: a growing season of whole-ecosystem exchange measurements by eddy correlation,Biosphere-atmosphere exchange; Boreal woodland; Ecosystem physiology; Photosynthesis model; Picea mariana,10,6,17767173.2032308
168,1999,Spatial variation among lakes within landscapes: ecological organization along lake chains,Coherence; Lake chains; Lake districts; Lake number; Lake order; Lake variability; Landscape position; North temperate lakes; Synchrony; Water residence time,11,9,17757883.1940956
169,2018,Geographical ecology of dry forest tree communities in the West Indies,beta diversity; Caribbean; community composition; seasonally dry tropical forest; species turnover; tropical dry forest; West Indies,23,22,17754035.3160538
170,2007,"CO2 Balance of Boreal, Temperate, and Tropical Forests Derived from a Global Database",Carbon cycle; CO2; Forest ecosystems; Global database; Gross primary productivity; Net ecosystem productivity; Net primary productivity,65,41,17753741.5177835
171,2011,"The influence of land use and climate change on forest biomass and composition in Massachusetts, USA","Aboveground biomass; Climate change; Current trends; Forest carbon sequestration; Future scenarios; Land use legacies; Landscape inertia; Landscape simulation; Massachusetts, USA; Old-growth forest",4,4,17741132.2320768
172,2018,"Patterns of root colonization by arbuscular mycorrhizal fungi and dark septate endophytes across a mostly-unvegetated, high-elevation landscape",Alpine plants; Arbuscular mycorrhizal fungi; Dark septate endophytes; Nitrogen; Phosphorus; Plant density; Snowpack,10,5,17736665.117004
173,2013,Effects of experimental rainfall manipulations on Chihuahuan Desert grassland and shrubland plant communities,Bouteloua eriopoda; Climate change; Drought; Forbs; Larrea tridentata; Plant community structure; Species richness; Water addition,5,4,17736665.117004
174,2012,"Primary production throughout austral fall, during a time of decreasing daylength in the western Antarctic Peninsula",Antarctica; Bloom demise; Fall; Growth rates; Loss rates; Phytoplankton; Primary production; Winter,7,5,17736174.8243208
175,2015,Quantifying the effects of vegetation structure on snow accumulation and ablation in mixed-conifer forests,Forest structure; LiDAR; Snow distributions; Snow modelling,6,3,17736174.8243208
176,2009,Ecohydrological controls on snowmelt partitioning in mixed-conifer sub-alpine forests,Evapotranspiration; Snow-vegetation interactions; Snowmelt infiltration; Vegetation change,7,7,17736174.8243208
177,2017,Individual-based analysis of hair corticosterone reveals factors influencing chronic stress in the American pika,body mass; climate change; glucocorticoids; mammal; metabolic rate; thermal stress; wildlife,6,3,17727145.9668562
178,2010,The role of interface organizations in science communication and understanding,NA,13,10,17700407.8938305
179,2011,When a habitat freezes solid: microorganisms over-winter within the ice column of a coastal Antarctic lake,Antarctica; Lake ice; Microorganisms,10,7,17660976.3256395
180,2017,Below-ground biological responses to pyrogenic organic matter and litter inputs in grasslands,fire; litter decomposition; nematodes; phospholipid fatty acid; pyrogenic organic matter; stable isotopes; tallgrass prairie,4,4,17658760.9070592
181,2009,Planetary Boundaries: Exploring the Safe Operating Space for Humanity,Atmospheric aerosol loading; Biogeochemical nitrogen cycle; Biological diversity; Chemical pollution; Climate change; Earth; Global freshwater use; Land system change; Ocean acidification; Phosphorus cycle; Planetary boundaries; Stratospheric ozone; Sustainability,29,27,17658760.9070592
182,2008,Plant species traits are the predominant control on litter decomposition rates within biomes worldwide,Carbon cycling; Decomposition; Leaf economic spectrum; Leaf traits; Meta-analysis,30,22,17657685.0520525
183,2016,Carbon content and climate variability drive global soil bacterial diversity patterns,Bacterial composition; Biodiversity; Diurnal temperature range; Global biogeography; Soil carbon; Terrestrial ecosystems,9,5,17655027.7171443
184,2011,Abundance of introduced species at home predicts abundance away in herbaceous communities,Biogeography; Biosecurity; Disturbance; Global meta-study; Homogenization of communities; Invasion paradox; Mechanisms of invasion; Nutrient Network; Plant invasion; Propagule pressure,36,32,17634269.326509
185,2015,A continent-wide study reveals clear relationships between regional abiotic conditions and post-dispersal seed predation,AET; Annual actual evapotranspiration; Climate; Granivory; North America; Plant-consumer interactions; Precipitation; Seed predation,17,12,17634269.326509
186,2010,Longer growing seasons lead to less carbon sequestration by a subalpine forest,Growing season length; Isotope; Net ecosystem productivity; SIPNET; Subalpine forest,4,4,17594254.8885092
187,2016,Emerging opportunities and challenges in phenology: a review,Cameras; Greenness; ILTER; International LTER; Modeling; Phenology; Scale; Special feature,7,7,17584336.1700301
188,2017,Chlorophyll fluorescence tracks seasonal variations of photosynthesis from leaf to canopy in a temperate forest,carbon cycle; chlorophyll; gross primary production; photosynthesis; solar-induced fluorescence; vegetation indices,8,6,17584336.1700301
189,2014,Evaluating remote sensing of deciduous forest phenology at multiple spatial scales using PhenoCam imagery,NA,10,7,17580926.8937352
190,2014,Disturbance legacies and climate jointly drive tree growth and mortality in an intensively studied boreal forest,Boreal forest; Carbon cycling; Climate change; Dendrology; Disturbance; Forest mortality; Machine learning,6,5,17574736.7781563
191,2013,Changes in assembly processes in soil bacterial communities following a wildfire disturbance,16S rRNA gene pyrosequencing; Beta diversity; Betaproteobacteria; Community assembly; Firmicutes; Niche vs neutral processes,14,5,17573290.6079283
192,2013,Life-history constraints in grassland plant species: a growth-defence trade-off is the norm,Coexistence; Competition-defence hypothesis; Life history; Mammalian herbivory; Nutrient Network (NutNet); Resource limitation; Tolerance; Top-down bottom-up; Trade-offs,20,14,17567731.5825647
193,2017,"Biogeochemistry drives diversity in the prokaryotes, fungi, and invertebrates of a Panama forest",biogeochemistry; brown food web; richness; soil; tropics,11,9,17564900.6381207
194,2000,Quantification of the nitrogen cycle in a prairie stream,Aquatic insects; C:N ratio; Nitrogen cycle; Nitrogen export; Stream; Trophic structure,12,5,17550147.516024
195,2014,Functional distinctiveness of major plant lineages,Determinants of plant community diversity and structure; Functional traits; Geographic and climatic distributions; Kolmogorov-Smirnov Importance index; Leaf nitrogen; Leaf size; Maximum adult height; Phylogenetic tree; Seed mass; Specific leaf area,26,21,17545594.6436243
